Info 0    [12:05:43.636] Starting TS Server
Info 1    [12:05:43.636] Version: 4.1.2
Info 2    [12:05:43.636] Arguments: /Users/seijiro-ozawa/.nodenv/versions/12.16.0/bin/node /Users/seijiro-ozawa/.nodenv/versions/12.16.0/bin/tsserver --logFile /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/lj/yc0k98js5w7_7ypd45vg7xrrf7sh29/T/863ae6278fa14acfa6f88bd483833b31/tscancellation*
Info 3    [12:05:43.636] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [12:05:43.636] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [12:05:43.648] Search path: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server
Info 6    [12:05:43.649] For info: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js :: No config files found.
Info 7    [12:05:43.652] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [12:05:45.305] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1652.8094749999ms
Info 9    [12:05:45.305] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [12:05:45.305] 	Files (132)

Info 11   [12:05:45.305] -----------------------------------------------
Info 12   [12:05:51.447] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [12:05:52.402] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 954.3578299999936ms
Info 14   [12:05:52.402] Project '/dev/null/inferredProject1*' (Inferred)
Info 15   [12:05:52.402] 	Files (341)

Info 16   [12:05:52.402] -----------------------------------------------
Info 17   [12:05:52.838] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [12:05:52.899] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 61.16006400005426ms
Info 19   [12:05:52.899] Project '/dev/null/inferredProject1*' (Inferred)
Info 20   [12:05:52.899] 	Files (334)

Info 21   [12:05:52.899] -----------------------------------------------
Info 22   [12:05:53.314] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [12:05:53.319] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 4.994241999927908ms
Info 24   [12:05:55.564] Before ensureProjectForOpenFiles:
Info 25   [12:05:55.564] After ensureProjectForOpenFiles:
Info 26   [12:05:55.564] got projects updated in background, updating diagnostics for /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js
Info 27   [12:11:38.442] Search path: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist
Info 28   [12:11:38.442] For info: /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist/bundle.js :: No config files found.
Info 29   [12:11:38.446] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 30   [12:11:38.896] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 449.58517099998426ms
Info 31   [12:11:38.896] Project '/dev/null/inferredProject2*' (Inferred)
Info 32   [12:11:38.896] 	Files (132)

Info 33   [12:11:38.896] -----------------------------------------------
Info 34   [12:11:40.240] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 35   [12:11:40.241] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 0.9746700000250712ms
Info 36   [12:11:42.486] Before ensureProjectForOpenFiles:
Info 37   [12:11:42.486] After ensureProjectForOpenFiles:
Info 38   [12:11:42.486] got projects updated in background, updating diagnostics for /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist/bundle.js
Info 39   [12:24:02.362] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 40   [12:24:02.738] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false Elapsed: 375.95435999985784ms
Info 41   [12:24:02.738] Different program with same set of files:: structureIsReused:: 2
Info 42   [12:54:03.543] FileWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 1:: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 43   [12:54:03.544] Elapsed:: 1.0547429998405278ms FileWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 1:: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 44   [12:54:04.005] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [12:54:04.014] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 8.847732000052929ms
Info 46   [12:54:06.253] Before ensureProjectForOpenFiles:
Info 47   [12:54:06.254] After ensureProjectForOpenFiles:
Info 48   [12:54:06.254] got projects updated in background, updating diagnostics for /Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/webpack.config.js,/Users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/dist/bundle.js
Info 49   [12:54:44.826] DirectoryWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages :: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 50   [12:54:44.827] Elapsed:: 0.37365399999544024ms DirectoryWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages :: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
Info 51   [12:54:44.827] DirectoryWatcher:: Triggered with /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules/@packages/logger :: WatchInfo: /users/seijiro-ozawa/go/src/github.com/iact-cogmo/lerna-repo/services/server/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
